unique id,### [Term],#### [Definition],#### [Clarification],
480,Triple constraint,"The balance of scope, schedule, and cost, which are interdependent and affect project quality.","Like cooking: if you change the recipe size (scope), it affects time and cost.",are%20known%20as%20%2012.
481,Trust,The confidence among team members that others’ intentions are good and actions are reliable.,Like trusting a friend to keep a secret or show up when they say they will.,
482,Two-way communication,An interactive communication method where information flows back and forth between sender and receiver.,"Like a conversation where both people talk and listen, not just one giving instructions.",
483,User story,"A short, simple description of a feature told from the perspective of the user in Agile projects.","Like writing: 'As a customer, I want online checkout so I can buy products easily.'",
484,Value,"The net benefit a project delivers to stakeholders, measured in terms of outcomes, not just outputs.",Like the difference between buying a car (output) and having reliable transportation (value).,
485,Value delivery,The continuous process of delivering benefits and outcomes aligned with organizational strategy.,Like regularly harvesting vegetables from a garden rather than waiting until the end of the season.,
486,Value stream,The series of steps an organization takes to create value for customers.,"Like the journey of coffee beans from farm to cup, each step adds value.",
487,Values,The core beliefs and principles that guide decisions and behavior in projects or organizations.,"Like honesty, teamwork, or respect guiding how friends treat each other.",
488,Variance at Completion,The projected difference between the budget at completion (BAC) and the estimate at completion (EAC).,Like checking halfway through a road trip if you’ll overspend on gas compared to your original budget.,
489,Vendor,An external supplier that provides goods or services to the project.,Like the bakery that provides the cake for a party you’re hosting.,
490,Version control,"A system that manages changes to documents, code, or deliverables over time.",Like saving multiple drafts of an essay so you can go back to earlier versions if needed.,
491,Videoconferencing,A method of communication that allows people in different locations to see and hear each other in real time.,Like Zoom calls with family who live far away.,
492,Vilfredo Pareto,"An economist known for the Pareto Principle (80/20 rule), which is applied in quality and prioritization.",Learn more: https://en.wikipedia.org/wiki/Vilfredo_Pareto,
493,Virtual teams,Groups of people working together on a project without being in the same physical location.,Like collaborating online with classmates on a group project from different cities.,
494,Vision,"A clear, inspirational description of what an organization or project aims to achieve in the future.",Like a dream statement: 'We want to build the best eco-friendly community in the world.',
495,W. Edwards Deming,A quality management pioneer known for his work in continuous improvement and the PDCA cycle.,Learn more: https://en.wikipedia.org/wiki/W._Edwards_Deming,
496,Waterfall,A traditional project management approach where phases are completed sequentially without overlap.,Like baking a cake: you can’t frost it until it’s baked and cooled.,
497,WBS dictionary,A supporting document that provides detailed information about each element in the work breakdown structure.,Like the notes section of a to-do list that explains what each task involves.,
498,Weighted scoring model,A decision-making tool that ranks alternatives based on weighted criteria.,"Like choosing a college by scoring schools on cost, location, and programs, then picking the best score.",
499,Win-win,An approach in negotiation where both parties achieve favorable outcomes.,Like agreeing to split chores with a roommate in a way that satisfies both of you.,
500,Withdraw,A conflict resolution technique where one party removes themselves from the situation.,Like walking away from an argument instead of continuing to fight.,
501,Work breakdown structure,"A hierarchical decomposition of project deliverables into smaller, manageable components.","Like breaking a big project, such as painting a house, into prep, priming, painting, and cleanup.",1
502,Working environment,The physical and cultural conditions in which project work is performed.,Like the difference between working in a noisy café or a quiet library.,
503,ZOPA,Zone of Possible Agreement — the range within which two parties can reach a deal in negotiation.,Like haggling at a market where you’re willing to pay $10–$15 and the seller wants $12–$14.,
